,기타
66,"['오픽', 'IH', '/', '교내', '연합봉사동아리', '2년(부회장', '1년),', '교내', '공모전', '2회', '참여:', '우수상,', '인기상', '2회', '수상,', '전국단위', '연구과제', '공모전', '참여:', '장려상', '수상,', '임베디드소프트웨어경진대회', '자율주행부문', '참여,', '학부연구생', '생활', '2년,', '석사', '2년,', '석사과정', '국가', '연구과제', '담당', '2건,', '국내/국제학회', '학술발표', '5건,', '국외학회', '학술발표', '1건,', '국내특허출원', '2건,', '국제특허출원', '1건,', 'SW저작권', '1건,', 'SCOPUS', '논문', '3건,', 'SCI', '논문', '1건,', '컴활', '1급']"
67,"['/', '오픽', 'im2', '/', '대외활동', '2회,', '인턴', '1회']"
68,[]
69,"['포스터', '발표(국내학회', '3회,', '해외학회', '2회)', '프로젝트', '참여']"
70,[]
71,"['/', '토스', 'level6']"
72,"['/', '토익', '990', '/', '동아리', '1회,', '외부', '교육', '1회']"
73,"['/', '오픽', 'IH', '/', '인턴', '2번']"
74,"['/', '토익', '800후반']"
75,"['SAS', 'Certified', 'Base', 'Programmer', 'for', 'SAS', '9,', 'SAS', 'Certified', 'Advanced', 'Programmer', 'for', 'SAS', '9', 'SQLD,', 'GBSA', 'SW-tech', '전문교육', '1기', '(Data', 'Scientist', 'Academy)', '(1개월),', '넥슨코리아', '데이터분석', '인턴', '(6개월)']"
